Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
wet tropics,herbert,herbert,water,2021,9871.2,423.3,4.3,9.2,2.2,2021 to 2015
wet tropics,johnstone,johnstone,water,1999,2459.7,51.7,2.1,0,0,1999 to 1999
wet tropics,johnstone,johnstone,water,2009,2456.4,51.6,2.1,-0,-0.1,2009 to 1999
wet tropics,johnstone,johnstone,water,2015,2455.5,51.6,2.1,0,0,2015 to 2009
wet tropics,johnstone,johnstone,water,2021,2316.9,56.4,2.4,4.7,9.2,2021 to 2015
wet tropics,mossman,mossman,water,1999,513.4,20.5,4,0,0,1999 to 1999
wet tropics,mossman,mossman,water,2009,498,20.6,4.1,0.1,0.6,2009 to 1999
wet tropics,mossman,mossman,water,2015,496,20.7,4.2,0,0.1,2015 to 2009
wet tropics,mossman,mossman,water,2021,465.4,20.7,4.4,0,0,2021 to 2015
wet tropics,mulgrave,mulgrave,water,1999,1332.9,91.3,6.8,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,water,2009,1333.3,88.9,6.7,-2.4,-2.6,2009 to 1999
wet tropics,mulgrave,mulgrave,water,2015,1332.9,88.9,6.7,-0,-0,2015 to 2009
wet tropics,mulgrave,mulgrave,water,2021,1319.3,90.9,6.9,1.9,2.2,2021 to 2015
wet tropics,murray,murray,water,1999,1516.4,44.6,2.9,0,0,1999 to 1999
wet tropics,murray,murray,water,2009,1514.3,30.8,2,-13.8,-31,2009 to 1999
wet tropics,murray,murray,water,2015,1514.9,30.3,2,-0.5,-1.7,2015 to 2009
wet tropics,murray,murray,water,2021,1501.3,30.3,2,0,0,2021 to 2015
wet tropics,russell,russell,water,1999,718.4,19.4,2.7,0,0,1999 to 1999
wet tropics,russell,russell,water,2009,695.6,19.4,2.8,-0,-0.1,2009 to 1999
wet tropics,russell,russell,water,2015,696.1,19.4,2.8,0,0,2015 to 2009
wet tropics,russell,russell,water,2021,670.3,19.2,2.9,-0.3,-1.4,2021 to 2015
wet tropics,tully,tully,water,1999,1718,43.6,2.5,0,0,1999 to 1999
wet tropics,tully,tully,water,2009,1711.8,43.6,2.5,0,0,2009 to 1999
wet tropics,tully,tully,water,2015,1712.8,43.8,2.6,0.2,0.4,2015 to 2009
wet tropics,tully,tully,water,2021,1684,43.8,2.6,0,0.1,2021 to 2015
