Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
dry tropics,ross,bohle river,irrigated agriculture,2016,331,4.4,1.3,0.3,6,2016 to 2009
dry tropics,ross,bohle river,irrigated agriculture,2021,328.5,4.5,1.4,0.1,2,2021 to 2016
dry tropics,ross,ross river (lower),irrigated agriculture,2009,133.9,0,0,0,0,1999 to 1999
dry tropics,ross,ross river (lower),irrigated agriculture,2016,133.9,0,0,-0,-0,2016 to 2009
dry tropics,ross,ross river (lower),irrigated agriculture,2021,133.9,0,0,0,0,2021 to 2016
dry tropics,ross,ross river (upper),irrigated agriculture,1999,765.2,2.8,0.4,0,0,1999 to 1999
dry tropics,ross,ross river (upper),irrigated agriculture,2009,767.5,4,0.5,1.2,43.4,2009 to 1999
dry tropics,ross,ross river (upper),irrigated agriculture,2016,768.1,4,0.5,-0.1,-1.3,2016 to 2009
dry tropics,ross,ross river (upper),irrigated agriculture,2021,760.8,3,0.4,-1,-25.6,2021 to 2016
dry tropics,ross,stuart creek,irrigated agriculture,1999,124.8,2.3,1.9,0,0,1999 to 1999
dry tropics,ross,stuart creek,irrigated agriculture,2009,124.9,2.3,1.8,-0.1,-3.3,2009 to 1999
dry tropics,ross,stuart creek,irrigated agriculture,2016,122.6,1.6,1.3,-0.7,-30.4,2016 to 2009
dry tropics,ross,stuart creek,irrigated agriculture,2021,120.8,1.1,0.9,-0.5,-28.7,2021 to 2016
mackay whitsunday isaac,don,don,irrigated agriculture,1999,3920.1,174.7,4.5,0,0,1999 to 1999
mackay whitsunday isaac,don,don,irrigated agriculture,2009,3872.2,180.2,4.7,5.5,3.2,2009 to 1999
mackay whitsunday isaac,don,don,irrigated agriculture,2016,3865.1,195.3,5.1,15.1,8.4,2016 to 2009
mackay whitsunday isaac,don,don,irrigated agriculture,2021,3750.8,210.3,5.6,15,7.7,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,irrigated agriculture,1999,2444.9,368.4,15.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,irrigated agriculture,2009,2444.9,342.5,14,-26,-7,2009 to 1999
mackay whitsunday isaac,o'connell,o'connell,irrigated agriculture,2016,2444.9,321.9,13.2,-20.6,-6,2016 to 2009
mackay whitsunday isaac,o'connell,o'connell,irrigated agriculture,2021,2445,321.2,13.1,-0.7,-0.2,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,irrigated agriculture,1999,1571.2,357.5,22.8,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,pioneer,irrigated agriculture,2009,1571.2,334.2,21.3,-23.3,-6.5,2009 to 1999
mackay whitsunday isaac,pioneer,pioneer,irrigated agriculture,2016,1571.2,320.8,20.4,-13.4,-4,2016 to 2009
mackay whitsunday isaac,pioneer,pioneer,irrigated agriculture,2021,1574.9,318.9,20.2,-1.9,-0.6,2021 to 2016
mackay whitsunday isaac,plane,plane,irrigated agriculture,1999,2559.9,701.5,27.4,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,irrigated agriculture,2009,2559.9,665.5,26,-36.1,-5.1,2009 to 1999
mackay whitsunday isaac,plane,plane,irrigated agriculture,2016,2559.9,654.1,25.6,-11.3,-1.7,2016 to 2009
mackay whitsunday isaac,plane,plane,irrigated agriculture,2021,2623.1,656.2,25,2.1,0.3,2021 to 2016
